8293	148251
2	145423
36485	32369
26681	26374
73176	17539
16848	17216
71718	8467
51462	8330
51477	6812
27493	4118
51460	3991
100181	3578
51463	1596
120	177
10488	157
10413	145
10373	140
10956	137
64257	132
10847	132
25088	129
37350	121
10356	121
37690	121
38469	120
10494	120
41852	119
24727	118
10867	118
38837	117
25471	117
10862	116
10863	115
40892	115
24952	113
25007	112
61730	110
32266	109
24855	109
25275	109
10420	109
24062	106
25504	101
7435	89
262	71
36779	53
8	20
3763	18
43	17
90219	14
3923	12
8638	5
8296	4
8285	3
1246	2
52503	2
661	1
26318	1
8385	1
1025	1
4268	1
73169	1
524	1
14455	1
12824	1
15979	1
37693	1
12140	1
1811	1
6320	1
8013	1
39409	1
6049	1
7977	1
39540	1
20096	1
115	1
11563	1
39886	1
56419	1
14448	1
86	1
14445	1
584	1
930	1
5184	1
7134	1
9457	1
73168	1
1583	1
5969	1
100324	1
10002	1
9118	1
1269	1
10048	1
366	1
981	1
511	1
7859	1
68166	1
73150	1
106680	1
93077	1
107940	1
7502	1
67878	1
93073	1
86560	1
451	1
84	1
95540	1
27586	1
114076	1
102184	1
8469	1
11758	1
10832	1
6619	1
8089	1
92090	1
2243	1
92256	1
2401	1
1846	1
8704	1
51289	1
19950	1
3463	1
9972	1
1280	1
26543	1
6714	1
6584	1
8875	1
8717	1
93052	1
10721	1
91136	1
10118	1
14460	1
